date,price
7/1/1995,2.477
8/1/1995,2.482
9/1/1995,2.459
10/1/1995,2.473
11/1/1995,2.493
12/1/1995,2.518
1/1/1996,2.546
2/1/1996,2.541
3/1/1996,2.539
4/1/1996,2.537
5/1/1996,2.532
6/1/1996,2.599
7/1/1996,2.649
8/1/1996,2.666
9/1/1996,2.666
10/1/1996,2.73
11/1/1996,2.746
12/1/1996,2.727
1/1/1997,2.677
2/1/1997,2.632
3/1/1997,2.632
4/1/1997,2.606
5/1/1997,2.608
6/1/1997,2.587
7/1/1997,2.557
8/1/1997,2.551
9/1/1997,2.533
10/1/1997,2.635
11/1/1997,2.678
12/1/1997,2.672
1/1/1998,2.632
2/1/1998,2.653
3/1/1998,2.658
4/1/1998,2.668
5/1/1998,2.666
6/1/1998,2.622
7/1/1998,2.628
8/1/1998,2.717
9/1/1998,2.757
10/1/1998,2.785
11/1/1998,2.8
12/1/1998,2.859
1/1/1999,2.94
2/1/1999,3.004
3/1/1999,3.003
4/1/1999,2.707
5/1/1999,2.716
6/1/1999,2.704
7/1/1999,2.706
8/1/1999,2.719
9/1/1999,2.794
10/1/1999,2.964
11/1/1999,2.981
12/1/1999,2.875
1/1/2000,2.785
2/1/2000,2.777
3/1/2000,2.748
4/1/2000,2.773
5/1/2000,2.782
6/1/2000,2.763
7/1/2000,2.781
8/1/2000,2.807
9/1/2000,2.809
10/1/2000,2.805
11/1/2000,2.753
12/1/2000,2.785
1/1/2001,2.852
2/1/2001,2.847
3/1/2001,2.76
4/1/2001,2.845
5/1/2001,2.893
6/1/2001,2.911
7/1/2001,2.933
8/1/2001,2.89
9/1/2001,2.941
10/1/2001,2.954
11/1/2001,2.89
12/1/2001,2.895
1/1/2002,2.812
2/1/2002,2.807
3/1/2002,2.816
4/1/2002,2.779
5/1/2002,2.782
6/1/2002,2.768
7/1/2002,2.747
8/1/2002,2.72
9/1/2002,2.728
10/1/2002,2.727
11/1/2002,2.719
12/1/2002,2.682
1/1/2003,2.686
2/1/2003,2.689
3/1/2003,2.656
4/1/2003,2.674
5/1/2003,2.685
6/1/2003,2.676
7/1/2003,2.708
8/1/2003,2.666
9/1/2003,2.904
10/1/2003,2.905
11/1/2003,2.937
12/1/2003,2.947
1/1/2004,2.879
2/1/2004,2.814
3/1/2004,2.786
4/1/2004,2.906
5/1/2004,3.374
6/1/2004,3.574
7/1/2004,3.479
8/1/2004,3.297
9/1/2004,3.149
10/1/2004,3.161
11/1/2004,3.219
12/1/2004,3.233
1/1/2005,3.304
2/1/2005,3.176
3/1/2005,3.226
4/1/2005,3.225
5/1/2005,3.207
6/1/2005,3.122
7/1/2005,3.09
8/1/2005,3.136
9/1/2005,3.133
10/1/2005,3.171
11/1/2005,3.211
12/1/2005,3.241
1/1/2006,3.197
2/1/2006,3.224
3/1/2006,3.161
4/1/2006,3.123
5/1/2006,3.066
6/1/2006,3.001
7/1/2006,3.083
8/1/2006,3.019
9/1/2006,3.049
10/1/2006,3.064
11/1/2006,2.985
12/1/2006,3.004
1/1/2007,3.067
2/1/2007,3.083
3/1/2007,3.072
4/1/2007,3.135
5/1/2007,3.259
6/1/2007,3.427
7/1/2007,3.736
8/1/2007,3.807
9/1/2007,3.841
10/1/2007,3.838
11/1/2007,3.904
12/1/2007,3.87
1/1/2008,3.871
2/1/2008,3.869
3/1/2008,3.781
4/1/2008,3.799
5/1/2008,3.76
6/1/2008,3.773
7/1/2008,3.961
8/1/2008,3.886
9/1/2008,3.773
10/1/2008,3.656
11/1/2008,3.734
12/1/2008,3.681
1/1/2009,3.575
2/1/2009,3.319
3/1/2009,3.116
4/1/2009,3.084
5/1/2009,3.068
6/1/2009,3.009
7/1/2009,2.992
8/1/2009,2.979
9/1/2009,2.981
10/1/2009,3.046
11/1/2009,3.034
12/1/2009,3.105
1/1/2010,3.236
2/1/2010,3.203
3/1/2010,3.188
